SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,ManEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.100545146,5861.57718,0.10205209,5391.167327,0.170373093,3940.472716,0.140781284,2286.849171,0.220846747,3363.194137,0.136120194,6534.09835,0.378297479,-290.6035687,0.264431665,1244.635193,0.260420917,1086.695279,0.225773196,9543.568465,,,,,0.263363755,8931.697984
0.102019518,6049.769039,0.106497143,5512.194814,0.180014345,3994.365744,0.145222349,2488.521766,0.241610935,3511.322687,0.140557935,6802.975201,0.399810818,-290.3144109,0.302404649,1289.270386,0.272886965,1091.845494,0.244845361,9709.543568,,,,,0.28422425,9112.519491
0.105721402,6197.668258,0.109459182,5619.761508,0.188913092,4061.689652,0.148183724,2609.529311,0.255701228,3605.598095,0.147218535,7125.64537,0.410196567,-290.1748175,0.339253243,1364.806867,0.279131904,1136.480687,0.267010309,9925.311203,,,,,0.308344198,9197.45964
0.107940937,6318.665833,0.1139049,5727.348144,0.202259552,4196.277642,0.15113978,2838.063667,0.269790191,3726.755204,0.152402103,7313.887085,0.43912697,-262.9042476,0.353425817,1393.991416,0.288758283,1117.596567,0.295876289,10207.46888,,,,,0.322033898,9261.211614
0.114608849,6493.486638,0.121313321,5929.060623,0.214864172,4330.855661,0.153355992,3026.265497,0.280171952,3807.539905,0.154621639,7434.884659,0.449512055,-249.3238029,0.366462814,1414.592275,0.302358934,1127.896996,0.319587629,10373.44398,,,,,0.335723598,9314.31396
0.120536251,6641.41577,0.125016535,6050.078139,0.223760926,4438.502123,0.157795062,3268.260646,0.29352373,3834.601085,0.162030725,7623.156287,0.470283554,-249.044616,0.39083612,1452.360515,0.322770611,1181.11588,0.360824742,10688.79668,,,,,0.35202086,9324.790027
0.124981304,6762.443257,0.132424957,6251.790618,0.231174001,4546.128643,0.159274088,3362.366547,0.306877501,3821.339711,0.168697972,7811.417943,0.482153647,-262.325932,0.411808533,1484.978541,0.335234714,1179.399142,0.377319588,10771.78423,,,,,0.356584094,9367.33994
0.131648552,6950.704913,0.138352359,6399.71975,0.237103397,4653.735221,0.161494288,3469.92327,0.313554055,3821.42945,0.176107724,7986.24872,0.507375518,-248.5460682,0.420309548,1493.562232,0.343174507,1206.866953,0.393814433,10871.36929,,,,,0.365710561,9431.14051
0.136093605,7071.732401,0.142056902,6493.855563,0.24600015,4761.381682,0.166661903,3980.745416,0.323938475,3848.450746,0.18425599,8228.293723,0.524437156,-234.8758848,0.429947112,1514.16309,0.351111381,1224.034335,0.405670103,11037.3444,,,,,0.368970013,9409.806543
0.142021007,7219.661533,0.145758787,6641.754782,0.249706688,4815.194942,0.169622613,4115.193812,0.336545754,3929.26536,0.194629775,8470.36864,0.53037187,-234.7961172,0.458284964,1546.781116,0.371521599,1272.103004,0.420103093,11103.73444,,,,,0.385267275,9430.932238
0.144984376,7300.346524,0.15094302,6816.555646,0.257861602,4922.831433,0.162966666,3698.437684,0.346189665,3929.394982,0.204258397,8779.637842,0.546692999,-248.0176074,0.479253973,1567.381974,0.394187893,1284.120172,0.440721649,11120.33195,,,,,0.413298566,9569.07887
0.14794575,7421.354069,0.158348783,7072.031529,0.262309978,4976.654664,0.171838159,4316.836494,0.36102645,3929.594401,0.210926973,8941.017796,0.567466493,-288.0609744,0.50022055,1579.399142,0.421956741,1308.154506,0.453608247,11253.11203,,,,,0.417861799,9579.6799
0.151648299,7555.812437,0.159826479,7193.019133,0.26675902,5017.037043,0.173315191,4451.264949,0.375120732,3943.224701,0.217592891,9156.161155,0.582301949,-260.9798527,0.490589794,1582.832618,0.43895099,1297.854077,0.468041237,11452.28216,,,,,0.423728814,9526.369282
0.155349519,7717.152507,0.165752551,7367.829967,0.269725048,5043.95863,0.175530737,4652.907631,0.38179662,3956.755291,0.230930044,9478.921063,0.604556462,-247.2398727,0.518360588,1613.733906,0.450292162,1332.188841,0.48556701,11618.25726,,,,,0.431551499,9611.482992
0.159793907,7851.620846,0.172418469,7582.973326,0.27343092,5111.212741,0.176265265,4800.766966,0.398857594,3983.866325,0.235375097,9599.94855,0.611233015,-247.150134,0.530259578,1617.167382,0.466154239,1325.321888,0.503608247,11751.03734,,,,,0.441329857,9579.429974
0.164238295,7986.089184,0.179086381,7757.794132,0.277879297,5165.035972,0.18070367,5056.202966,0.406270004,4104.933696,0.247237878,9734.516598,0.623101779,-233.5497474,0.539893737,1625.751073,0.471834065,1375.107296,0.522680412,11900.41494,,,,,0.453063885,9717.750166
0.168683348,8107.116672,0.183530105,7905.703321,0.285291707,5286.103343,0.182921876,5204.082243,0.431482568,4306.885478,0.256875806,9855.613882,0.652031516,-192.8383262,0.549520116,1606.866953,0.496755462,1347.639485,0.542783505,12066.39004,,,,,0.460886571,9802.863875
0.173127072,8255.025861,0.191679036,8134.307474,0.290481923,5339.936545,0.187360282,5459.518243,0.424068829,4212.69981,0.277638664,10030.62414,0.677253387,-179.0584624,0.563126603,1637.76824,0.509799268,1392.274678,0.558762887,12132.78008,,,,,0.465449804,9749.567142
