SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,,MaxEntDP,,TD3,,Crossq,,SMPO,,,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,MIN,MAX,X,Y
0.178997613,2239.423942,0.193317422,2279.027903,0.260143198,1796.579658,0.288782816,1868.586859,0.242641209,1814.581458,0.202068417,1735.373537,0.495624503,363.6363636,0.228363389,2988.988824,0.326308573,1471.036409,0.748744196,2705.818806,,,,,0.345394737,3262.287757
0.183770883,2275.427543,0.197295147,2333.033303,0.263325378,1796.579658,0.30230708,1890.189019,0.249005569,1864.986499,0.204455052,1764.176418,0.513126492,374.4374437,0.23410339,2985.31739,0.329200192,1619.835744,0.770491752,2597.123052,,,,,0.353289474,3249.776586
0.185361973,2322.232223,0.199681782,2372.637264,0.263325378,1796.579658,0.307875895,1893.789379,0.250596659,1875.787579,0.208432776,1800.180018,0.529037391,381.6381638,0.237539368,2927.216222,0.334379685,1710.542245,0.792737428,2536.614068,,,,,0.359868421,3284.182306
0.186953063,2361.836184,0.202068417,2419.441944,0.266507558,1825.382538,0.314240255,1893.789379,0.257756563,1940.594059,0.212410501,1846.984698,0.53858393,381.6381638,0.239824117,2847.344826,0.338368358,1503.616737,0.800483175,2552.585003,,,,,0.370394737,3259.159964
0.188544153,2401.440144,0.204455052,2469.846985,0.270485282,1850.585059,0.322991249,1886.588659,0.266507558,1980.19802,0.215592681,1886.588659,0.548926014,381.6381638,0.243264784,2821.9115,0.342949837,1427.358433,0.808222696,2584.62027,,,,,0.381578947,3259.159964
0.192521877,2441.044104,0.204455052,2491.449145,0.271280827,1854.185419,0.326173429,1882.988299,0.278440732,1983.79838,0.219570406,1944.194419,0.574383453,367.2367237,0.2472894,2865.439452,0.346413945,1565.264319,0.819063007,2616.618178,,,,,0.388815789,3231.00983
0.195704057,2477.047705,0.206046142,2531.053105,0.273667462,1861.386139,0.328560064,1879.387939,0.279236277,1987.39874,0.222752586,1987.39874,0.587112172,363.6363636,0.250179456,3003.349506,0.352165406,1641.447612,0.830940028,2640.571467,,,,,0.405921053,3277.92672
0.196499602,2502.250225,0.207637232,2563.456346,0.275258552,1864.986499,0.335719968,1868.586859,0.290373906,2027.0027,0.224343675,2016.20162,0.595067621,367.2367237,0.251349439,3155.791103,0.359644754,1757.545765,0.846429967,2676.529419,,,,,0.414473684,3221.626452
0.201272872,2531.053105,0.209228321,2595.859586,0.283214002,1872.187219,0.342084328,1861.386139,0.290373906,2027.0027,0.2283214,2063.006301,0.606205251,374.4374437,0.25593196,3086.792319,0.364812787,1768.39754,0.856242908,2692.475448,,,,,0.425,3224.754245
0.204455052,2556.255626,0.213206046,2646.264626,0.284805091,1872.187219,0.354017502,1846.984698,0.295147176,2027.0027,0.23150358,2102.610261,0.61734288,378.0378038,0.25592102,3010.567353,0.368813441,1644.956519,0.863999552,2680.333802,,,,,0.430263158,3184.09294
