SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.051,52.12669446,0.051,47.34068749,,,,,0.302394,87.29427,0.77669,19.4445591,,
0.0515,15.43567147,0.0515,42.24715886,,,,,0.305388,124.15871,0.78438,-2.572066069,,
0.052,44.47229471,0.052,42.12229429,,,,,0.308382,124.696144,0.79207,3.418746948,,
0.0525,55.70479759,0.0525,40.27652831,,,,,0.311376,38.446423,0.79976,-11.0737896,,
0.053,32.1971667,0.053,42.0559547,,,,,0.31437,71.99661,0.80745,-5.932778835,,
0.0535,33.68907776,0.0535,42.30249474,,,,,0.317364,107.19196,0.81514,-2.075622082,,
0.054,39.53385018,0.054,42.78176265,,,,,0.320358,126.69646,0.82283,10.93288326,,
0.0545,14.36857729,0.0545,42.99011628,,,,,0.323352,107.8132,0.83052,52.53667068,,
0.055,49.68691712,0.055,41.22500225,,,,,0.326346,124.18336,0.83821,41.08963776,,
0.0555,37.44592169,0.0555,41.59508603,,,,,0.32934,59.78728,0.8459,-17.24678802,,
0.056,47.60707765,0.056,39.38229506,,,,,0.332334,105.94958,0.85359,1.681499958,,
0.0565,79.34150823,0.0565,43.7475519,,,,,0.335328,108.91124,0.86128,1.775336981,,
0.057,55.35209028,0.057,41.02584195,,,,,0.338322,107.20892,0.86897,1.075703979,,
0.0575,57.54045963,0.0575,42.06918661,,,,,0.341316,105.34596,0.87666,-13.14841461,,
0.058,41.61838533,0.058,39.70138788,,,,,0.34431,124.106224,0.88435,-18.29943085,,
0.0585,30.29655667,0.0585,38.90649451,,,,,0.347304,107.05112,0.89204,1.088284016,,
0.059,1.269328965,0.059,42.77447945,,,,,0.350298,137.69278,0.89973,7.185361862,,
0.0595,55.29146102,0.0595,40.75976121,,,,,0.353292,111.602516,0.90742,24.35125542,,
0.06,38.53151964,0.06,40.87162776,,,,,0.356286,117.21067,0.91511,-11.40158653,,
0.0605,49.05850129,0.0605,45.73133248,,,,,0.35928,133.88403,0.9228,4.471487999,,
0.061,71.25228199,0.061,45.93014348,,,,,0.362274,95.58213,0.93049,16.96879005,,
0.0615,23.85700358,0.0615,39.77958112,,,,,0.365268,111.09527,0.93818,-4.594890118,,
0.062,55.51644685,0.062,41.96725643,,,,,0.368262,114.905304,0.94587,-4.020434856,,
0.0625,51.71871843,0.0625,48.59026881,,,,,0.371256,97.242714,0.95356,15.94580078,,
