SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0395,4834.125544,0.0395,4630.258687,0.457105936,11202.39117,0.52239178,11122.62351,0.501580397,11928.7954,,,0.900260756,11044.19109
0.04,4938.961286,0.04,4404.23012,0.471198223,11256.34402,0.534999724,11189.99727,0.515672684,11982.74825,,,0.917209909,11075.95947
0.0405,5021.666792,0.0405,4592.082688,0.474163586,11296.70646,0.54686184,11338.00617,0.529024461,12009.80943,,,0.933507171,11075.78591
0.041,5143.797072,0.041,4967.021324,0.478613292,11323.64799,0.566145008,11432.35137,0.545343596,12036.91049,,,0.951760104,11086.24115
0.0415,5203.327541,0.0415,5063.715146,0.488253879,11390.98187,0.58023796,11472.86337,0.561660736,12104.33411,,,0.962190352,11128.72858
0.042,5168.085169,0.042,4915.213779,0.502343507,11498.69813,0.592846569,11526.79628,0.569077799,12131.31552,,,0.974576271,11181.84482
0.0425,5274.613481,0.0425,5520.682614,0.513467108,11579.4928,0.606937527,11607.63084,0.584656424,12131.52491,,,0.98696219,11203.01216
0.043,5326.097472,0.043,5227.899601,0.51717431,11619.86521,0.6195468,11648.1229,0.592076146,12104.74292,,,0.992829205,11213.59931
0.0435,5203.346023,0.0435,5358.389824,0.527554742,11727.53161,0.626222024,11675.09434,0.601721386,12077.99084,,,0.998696219,11224.18646
0.044,5356.838332,0.044,5168.22027,0.534970476,11781.39472,0.638827974,11782.79066,0.61804185,12078.2102,,,,
0.0445,5366.947358,0.0445,5287.337715,0.545351573,11875.62028,0.648469225,11836.68369,0.627684431,12105.22152,,,,
0.045,5315.456337,0.045,4927.835624,0.552026132,11916.03257,0.655144449,11863.65513,0.638810691,12132.25279,,,,
0.0455,5541.522758,0.0455,5464.027646,0.563148403,12023.70894,0.666270044,11904.12725,0.656613504,12159.3738,,,,
0.046,5523.75814,0.046,5857.754416,0.563148403,12023.70894,0.685553877,11985.0316,0.681090211,12240.34795,,,,
0.0465,5268.292418,0.0465,5325.661248,0.575011849,12144.83614,0.69816448,11998.64196,0.695926332,12253.98822,,,,
0.047,5668.956614,0.047,5364.087737,0.577977876,12171.75773,0.707065221,12025.64331,0.715953998,12294.57999,,,,
0.0475,5554.679017,0.0475,5749.641225,0.585390951,12279.38425,0.712999936,12025.72308,0.730047615,12321.65114,,,,
0.048,5625.829043,0.048,5100.749101,0.590581167,12333.21745,0.724866705,12079.64602,0.76120154,12389.27417,,,,
0.0485,5745.401777,0.0485,5664.404458,0.597994242,12440.84397,0.733023613,12146.95995,0.775295157,12416.34532,,,,
0.049,4760.278414,0.049,5826.463195,0.603183129,12521.55887,0.748602238,12147.16934,0.790871787,12456.87727,,,,
0.0495,4693.177943,0.0495,5525.089042,0.61282571,12548.5702,0.753053938,12133.78832,0.80051171,12537.652,,,,
0.05,5218.131355,0.05,5757.733938,0.615050563,12562.04096,0.758246813,12133.85812,0.816826856,12645.39817,,,,
0.0505,5206.98958,0.0505,5743.302292,0.62395064,12602.48317,0.765665206,12133.95783,0.832404816,12659.04841,,,,
0.051,5602.12639,0.051,5102.823829,0.62988336,12642.88549,0.781238513,12241.69403,0.843534399,12618.87542,,,,
0.0515,5628.084181,0.0515,5771.600225,0.637300423,12669.8669,0.791620939,12309.03788,0.86356273,12646.02634,,,,
0.052,5434.040592,0.052,5725.054242,0.644716157,12723.73002,0.800521016,12349.48008,0.873947815,12659.60679,,,,
0.0525,5762.065702,0.0525,6091.753008,0.648426018,12710.33902,0.813129624,12403.41299,0.891008124,12700.15867,,,,
0.053,5788.176559,0.053,6422.964475,0.649167857,12710.34899,0.828707584,12417.06323,0.913261972,12727.3395,,,,
0.0535,5869.756965,0.0535,6189.01046,0.657328089,12710.45867,0.849474431,12511.42838,0.928094105,12821.62488,,,,
0.054,5875.295326,0.054,6273.413546,0.66177846,12723.95935,0.852441123,12524.90911,0.939219035,12875.53785,,,,
0.0545,5919.146826,0.0545,6573.256342,0.668452354,12777.81249,0.841315528,12484.437,0.96666044,13010.31529,,,,
0.055,5979.741169,0.055,6374.674732,0.670677208,12791.28326,0.868762252,12511.68762,0.974076839,13050.73755,,,,
0.0555,5966.468885,0.0555,6631.598847,0.681802138,12845.19623,0.885080722,12552.22954,0.98297891,13050.8572,,,,
0.056,6081.807023,0.056,6561.839186,0.686993683,12872.14772,0.898431834,12592.73157,0.994847674,13064.45759,,,,
0.0565,6142.868291,0.0565,6523.079675,0.687735522,12872.1577,0.906591401,12606.2821,0.999298709,13064.51742,,,,
