SMFP(Ours),,SMFP w/o CrossQ,,SAC Flow-T,,SAC Flow-G,,DIME,,Crossq,,QVPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0855,1330.155699,0.0855,1215.276958,0.932002956,9904.43093,,,,,,,,
0.086,1895.917919,0.086,535.7957174,0.937915743,10060.81668,,,,,,,,
0.0865,425.0971324,0.0865,2032.80127,0.944567627,10071.2424,,,,,,,,
0.087,6760.330168,0.087,1028.995528,0.948263119,9998.262381,,,,,,,,
0.0875,1795.827297,0.0875,968.4676377,0.953436807,9914.856646,,,,,,,,
0.088,1168.925841,0.088,807.9136011,0.960088692,9894.005213,,,,,,,,
0.0885,5180.295204,0.0885,1706.40045,0.964523282,9873.153779,,,,,,,,
0.089,2469.058662,0.089,4672.012272,0.966740576,9873.153779,,,,,,,,
0.0895,1778.005307,0.0895,1155.406087,0.972653363,9841.876629,,,,,,,,
0.09,3674.123698,0.09,996.4101761,0.974131559,9810.599479,,,,,,,,
0.0905,195.3258683,0.0905,386.460601,0.980044346,9862.728063,,,,,,,,
0.091,214.0456245,0.091,2162.010871,0.985957132,9831.450912,,,,,,,,
0.0915,1014.758653,0.0915,727.6446426,0.990391722,9810.599479,,,,,,,,
0.092,5354.619219,0.092,193.3196404,0.993348115,9810.599479,,,,,,,,
0.0925,185.4413594,0.0925,1102.719964,0.997043607,9821.025195,,,,,,,,
0.093,472.267383,0.093,821.1516177,,,,,,,,,,
0.0935,5850.362669,0.0935,687.088737,,,,,,,,,,
0.094,225.6601622,0.094,512.1820147,,,,,,,,,,
0.0945,6421.571454,0.0945,517.0078568,,,,,,,,,,
0.095,793.7777471,0.095,1041.170822,,,,,,,,,,
0.0955,1095.326438,0.0955,410.0384744,,,,,,,,,,
0.096,1295.181562,0.096,1036.450356,,,,,,,,,,
0.0965,2093.783569,0.0965,418.8278541,,,,,,,,,,
0.097,3728.54189,0.097,1037.928151,,,,,,,,,,
0.0975,1064.198316,0.0975,408.9040483,,,,,,,,,,
